,open,high,low,close,volume,value
2022-06-30 05:59:00,26568000.0,26572000.0,26562000.0,26572000.0,1.04792068,27840357.63734
2022-06-30 06:00:00,26574000.0,26600000.0,26563000.0,26577000.0,2.36122669,62787498.14013
2022-06-30 06:01:00,26577000.0,26601000.0,26568000.0,26592000.0,0.64249007,17076333.35035
2022-06-30 06:02:00,26592000.0,26592000.0,26569000.0,26569000.0,1.56527046,41590989.44872
2022-06-30 06:03:00,26587000.0,26591000.0,26570000.0,26571000.0,1.90734722,50693862.34015
2022-06-30 06:04:00,26571000.0,26581000.0,26570000.0,26581000.0,1.43506694,38132956.95006
2022-06-30 06:05:00,26581000.0,26581000.0,26565000.0,26581000.0,1.21951744,32407945.30221
2022-06-30 06:06:00,26581000.0,26612000.0,26565000.0,26596000.0,5.13851409,136596869.01679
2022-06-30 06:07:00,26612000.0,26612000.0,26594000.0,26604000.0,2.06939672,55054415.35373
2022-06-30 06:08:00,26612000.0,26623000.0,26604000.0,26623000.0,1.21643776,32371628.10693
2022-06-30 06:09:00,26623000.0,26623000.0,26604000.0,26623000.0,1.00441745,26731046.31057
2022-06-30 06:10:00,26623000.0,26631000.0,26609000.0,26615000.0,2.91184759,77506196.25703
2022-06-30 06:11:00,26615000.0,26631000.0,26615000.0,26630000.0,1.44192143,38398540.85154
2022-06-30 06:12:00,26630000.0,26631000.0,26630000.0,26631000.0,1.78781192,47610094.2235
2022-06-30 06:13:00,26630000.0,26658000.0,26607000.0,26658000.0,2.26897912,60419349.93314
2022-06-30 06:14:00,26658000.0,26664000.0,26644000.0,26663000.0,2.68328281,71535724.2927
2022-06-30 06:15:00,26663000.0,26663000.0,26593000.0,26599000.0,9.15210375,243685490.15825
2022-06-30 06:16:00,26599000.0,26627000.0,26591000.0,26598000.0,3.6973689,98354737.03542
2022-06-30 06:17:00,26620000.0,26620000.0,26590000.0,26614000.0,2.28834599,60898298.9832
2022-06-30 06:18:00,26615000.0,26620000.0,26597000.0,26620000.0,1.44764937,38524736.33616
2022-06-30 06:19:00,26619000.0,26627000.0,26600000.0,26627000.0,1.96238874,52232822.56465
2022-06-30 06:20:00,26616000.0,26670000.0,26604000.0,26669000.0,3.14239426,83736075.89424
2022-06-30 06:21:00,26669000.0,26694000.0,26647000.0,26672000.0,2.71716838,72491260.30972
2022-06-30 06:22:00,26672000.0,26700000.0,26671000.0,26699000.0,1.88948489,50417634.82322
2022-06-30 06:23:00,26699000.0,26726000.0,26690000.0,26699000.0,4.40104494,117590579.43973
2022-06-30 06:24:00,26698000.0,26698000.0,26651000.0,26651000.0,2.82274019,75332306.52458
2022-06-30 06:25:00,26670000.0,26694000.0,26653000.0,26685000.0,2.53576183,67638581.80965
2022-06-30 06:26:00,26658000.0,26685000.0,26657000.0,26685000.0,2.44989883,65360186.26992
2022-06-30 06:27:00,26660000.0,26685000.0,26657000.0,26684000.0,1.67281581,44610165.13504
2022-06-30 06:28:00,26685000.0,26687000.0,26657000.0,26685000.0,1.97091577,52563412.97968
2022-06-30 06:29:00,26685000.0,26685000.0,26657000.0,26684000.0,1.77509121,47353476.58639
2022-06-30 06:30:00,26685000.0,26685000.0,26657000.0,26684000.0,2.13641909,56993057.98021
2022-06-30 06:31:00,26683000.0,26683000.0,26657000.0,26657000.0,1.60810334,42873132.55918
2022-06-30 06:32:00,26680000.0,26683000.0,26657000.0,26677000.0,1.64245317,43811220.18847
2022-06-30 06:33:00,26657000.0,26677000.0,26655000.0,26655000.0,3.14588324,83880833.88494
2022-06-30 06:34:00,26656000.0,26669000.0,26632000.0,26667000.0,1.54758166,41246752.5464
2022-06-30 06:35:00,26667000.0,26677000.0,26635000.0,26672000.0,1.328982,35435642.17842
2022-06-30 06:36:00,26658000.0,26672000.0,26653000.0,26671000.0,3.08490721,82256206.0555
2022-06-30 06:37:00,26671000.0,26671000.0,26648000.0,26671000.0,1.64003017,43727179.66126
2022-06-30 06:38:00,26671000.0,26693000.0,26656000.0,26688000.0,3.28484559,87629196.44332
2022-06-30 06:39:00,26678000.0,26698000.0,26678000.0,26678000.0,1.88065197,50187728.73563
2022-06-30 06:40:00,26678000.0,26750000.0,26678000.0,26738000.0,29.93326065,799878646.8708
2022-06-30 06:41:00,26739000.0,26750000.0,26738000.0,26738000.0,4.42466217,118309202.75257
2022-06-30 06:42:00,26749000.0,26749000.0,26738000.0,26738000.0,1.31663431,35208748.4396
2022-06-30 06:43:00,26746000.0,26748000.0,26738000.0,26746000.0,2.08357002,55713705.31294
2022-06-30 06:44:00,26746000.0,26746000.0,26738000.0,26738000.0,6.02554927,161112826.76132
2022-06-30 06:45:00,26738000.0,26744000.0,26738000.0,26738000.0,1.05151378,28116624.24888
2022-06-30 06:46:00,26738000.0,26750000.0,26738000.0,26750000.0,33.21478692,888126489.25063
2022-06-30 06:47:00,26745000.0,26745000.0,26738000.0,26738000.0,6.76134112,180785703.20009
2022-06-30 06:48:00,26738000.0,26744000.0,26738000.0,26738000.0,3.68247923,98464278.64011
2022-06-30 06:49:00,26739000.0,26739000.0,26738000.0,26738000.0,1.71443817,45840944.73537
2022-06-30 06:50:00,26738000.0,26745000.0,26738000.0,26738000.0,17.6709672,472490216.17219
2022-06-30 06:51:00,26738000.0,26739000.0,26738000.0,26738000.0,13.0361829,348562648.86976
2022-06-30 06:52:00,26738000.0,26745000.0,26719000.0,26734000.0,5.07759487,135768515.61146
2022-06-30 06:53:00,26734000.0,26745000.0,26721000.0,26736000.0,3.04077939,81293051.14457
2022-06-30 06:54:00,26723000.0,26737000.0,26721000.0,26737000.0,1.71100219,45739121.04709
2022-06-30 06:55:00,26737000.0,26758000.0,26737000.0,26756000.0,4.65607358,124534861.39973
2022-06-30 06:56:00,26756000.0,26756000.0,26743000.0,26743000.0,1.24648572,33346873.38042
2022-06-30 06:57:00,26752000.0,26752000.0,26743000.0,26752000.0,0.97925528,26194016.19476
2022-06-30 06:58:00,26744000.0,26752000.0,26725000.0,26736000.0,1.94178993,51917333.69773
2022-06-30 06:59:00,26736000.0,26736000.0,26722000.0,26722000.0,2.05236351,54852814.13092
2022-06-30 07:00:00,26722000.0,26725000.0,26719000.0,26725000.0,2.35383143,62895385.51742
2022-06-30 07:01:00,26725000.0,26725000.0,26719000.0,26725000.0,2.70641813,72319469.51408
2022-06-30 07:02:00,26724000.0,26750000.0,26719000.0,26720000.0,3.47608202,92915245.76062
2022-06-30 07:03:00,26732000.0,26750000.0,26719000.0,26722000.0,1.64828629,44056358.30469
2022-06-30 07:04:00,26722000.0,26747000.0,26719000.0,26731000.0,2.52878275,67569814.15522
